step,body_id,x,y,vx,vy
0,0,0.0,0.0,0.0,0.0
0,1,150000000000.0,0.0,0.0,29800.0
0,2,220000000000.0,0.0,0.0,24100.0
1,0,0.018596248456290175,0.0,1.8596248456290175e-05,0.0
1,1,149999994099.9275,29800000.0,-5.900072496167958,29800.0
1,2,219999997257.1123,24100000.0,-2.7428876877090835,24100.0
2,0,0.05578874571980935,3.6159236892811025e-06,3.719249726351918e-05,3.6159236892811025e-09
2,1,149999982299.78238,59599998.82784976,-11.800145107183123,29799.99882784976
2,2,219999991771.3369,48199999.69954465,-5.485775394431935,24099.99969954465
3,0,0.11157749142779397,1.4463695032540348e-05,5.578874570798462e-05,1.0847771343259245e-08
3,1,149999964599.5648,89399995.31139894,-17.70021759859221,29799.99648354918
3,2,219999983542.67383,72299998.7981786,-8.228663089810148,24099.99909863394
4,0,0.1859624845037779,3.615923812640107e-05,7.438499307598394e-05,2.169554309386072e-08
4,1,149999940999.27505,119199988.27849716,-23.600289735941878,29799.992967098227
4,2,219999972571.12308,96399996.99544647,-10.971550743485313,24099.99819726787
5,0,0.2789437231575924,7.23184770559232e-05,9.29812386538145e-05,3.615923892952214e-08
5,1,149999911498.91376,148999976.55699405,-29.50036128477875,29799.9882784969
5,2,219999958856.68475,120499993.9908929,-13.714438325099017,24099.99699544643
6,0,0.39052120488536596,0.0001265573357511135,0.00011157748172777352,5.4238858695190315e-08
6,1,149999876098.48175,178799958.9747393,-35.40043201064942,29799.982417745254
6,2,219999942399.35895,144599989.48406252,-16.457325804292847,24099.99549316962
7,0,0.5206949264695242,0.00020249173784343577,0.0001301737215841582,7.593440209232228e-08
7,1,149999834797.98007,208599934.3595827,-41.300501679100456,29799.975384843387
7,2,219999923199.14578,168699983.17449996,-19.200213150708382,24099.99369043744
8,0,0.6694648839787899,0.00030373760652232086,0.00014876995750926568,1.0124586867888512e-07
8,1,149999787597.41,238399901.53937414,-47.20057005567842,29799.967179791445
8,2,219999901256.04544,192799974.76174986,-21.943100333987207,24099.991587249897
9,0,0.836831072768183,0.00043391086439167697,0.00016736618878939315,1.3017325786935607e-07
9,1,149999734496.7731,268199859.34196377,-53.10063690592988,29799.957802589623
9,2,219999876570.0581,216899963.94535685,-24.6859873237709,24099.989183606995
10,0,1.0227934874790208,0.0005966274333263994,0.00018596241471083774,1.6271656893472236e-07
10,1,149999675496.0711,297999806.5952019,-59.0007019954014,29799.947253238162
10,2,219999849141.18402,240999950.4248656,-27.428874089701036,24099.98647950874
11,0,1.2273521220389174,0.0007955032343288805,0.00020455863455989674,1.9887580100248123e-07
11,1,149999610595.30603,327799742.12693924,-64.90076508963958,29799.935531737352
11,2,219999818969.42343,265099933.89982074,-30.17176060141919,24099.98347495515
12,0,1.450506969661785,0.0010341541873855205,0.00022315484762286741,2.3865095305663993e-07
12,1,149999539794.48007,357599664.76502675,-70.80082595419103,29799.92263808753
12,2,219999786054.7766,289199914.069767,-32.91464682856694,24099.98016994623
13,0,1.692258022847832,0.0013161962113232362,0.00024175105318604726,2.8204202393771564e-07
13,1,149999463093.5957,387399573.33731586,-76.70088435460242,29799.90857228908
13,2,219999750397.24387,313299890.634249,-35.65753274078585,24099.976564482
14,0,1.952605273383566,0.0016452452236659716,0.00026034725053573383,3.2904901234273554e-07
14,1,149999380492.65564,417199466.6716583,-82.60094005642046,29799.893334342436
14,2,219999711996.82556,337399863.29281145,-38.40041830771748,24099.97265856248
15,0,2.231548712341791,0.0020249171404912083,0.00027894343895822494,3.796719168252367e-07
15,1,149999291991.6628,446999343.5959064,-88.5009928251919,29799.876924248074
15,2,219999670853.52206,361499831.7449992,-41.143303499003416,24099.96845218769
16,0,2.5290883300816094,0.002458827876286474,0.00029753961773981854,4.339107357952661e-07
16,1,149999197590.6204,476799202.9379129,-94.4010424264636,29799.859342006523
16,2,219999626967.33377,385599795.69035685,-43.88618828428521,24099.963945357653
17,0,2.8452241162484224,0.002950593343805855,0.0003161357861668128,4.917654675193808e-07
17,1,149999097289.53177,506599043.52553123,-100.30108862578247,29799.840587618357
17,2,219999580338.26114,409699754.8284292,-46.62907263320443,24099.959138072394
18,0,3.1799560597739287,0.0035038294539265027,0.00033473194352550626,5.532361101206476e-07
18,1,149998991088.40057,536398864.1866154,-106.2011311886955,29799.8206610842
18,2,219999530966.30463,433799708.8587612,-49.371956515402644,24099.954030331945
19,0,3.533284148876126,0.004122152115505147,0.00035332808910219765,6.183226615786437e-07
19,1,149998878987.23068,566198663.7490201,-112.10116988074981,29799.799562404718
19,2,219999478851.46472,457899657.48089755,-52.1148399005214,24099.948622136333
20,0,3.905208371059312,0.004809177235234602,0.0003719242221831861,6.870251197294559e-07
20,1,149998760986.0262,595998441.0406008,-118.0012044674926,29799.77729158063
20,2,219999423993.74197,481999600.39438313,-54.85772275820227,24099.942913485593
21,0,4.295728713114083,0.0055685207175002836,0.00039052034205477106,7.593434822656811e-07
21,1,149998637084.7915,625798194.8892134,-123.9012347144712,29799.753848612705
21,2,219999366393.1369,506099537.2987629,-57.600605058086806,24099.93690437976
22,0,4.704845161117335,0.00640379846423671,0.00040911644800325234,8.352777467364266e-07
